SpecCode,tl,guild,len,ord,ecoregion,stream,fresh,invasive,npp,discharge,herbivory,feeding_type,add_rems,Wmax
137,0.653212514,Toppred,2.392696953,Perciformes,IndoMalay,Sonly,FandM,notinvasive,3.7925121,53418.28125,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),Feeds on fishes and swims well upstream river because of easy food availability (Ref. 12693).,NA
154,0.593286067,secCons,2.10720997,Perciformes,Neotropic,Unknown,FandM,notinvasive,43.31182103,26568.81946,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Adults common around rocky or coral reefs.  Young found in estuaries and occasionally enters rivers.  Feeds mainly on fishes and benthic invertebrates, including shrimps, crabs, gastropods and cephalopods.  Carnivore (Ref. 33499, 42771, 57616).",NA
174,0.531478917,secCons,2.344392274,Acipenseriformes,Nearctic,Sonly,Fonly,notinvasive,2425.212698,66475.86667,mainly animals (troph. 2.8 and up),filtering plankton,"Inhabits slow-flowing water of large rivers, usually in water deeper than 1.3 m. Feeds on plankton. The extended upper jaw (= paddle) may help to channel plankton into the mouth. Fish larger than 22.5 cm SL are indiscriminate tow-net filter feeders on plankton, while young paddlefish are selective plankton feeders (Ref. 46977).",74410
227,0.592176767,secCons,2.176091259,Elopiformes,Australasia,Both,FandM,notinvasive,188.7759873,9154.480412,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Adults are generally found at sea, but young inhabit river mouths, inner bays, and mangrove forests.  In freshwater, it occurs in rivers, lagoons, lakes, and swampy backwaters (Ref. 2847).  Tolerate salinities from 0 to 100.  Mainly diurnal (Ref. 7017).  Predaceous, feeding mainly on fishes and crustaceans (Ref. 5213).  Breed offshore, possibly throughout the year.  Larvae are transparent and resemble larval eels (Ref. 13337).  Juveniles commonly enter freshwater (Ref. 48635). Also in Ref. 9137.",1000
231,0.485721418,secCons,1.681241237,Salmoniformes,Palearctic,Lonely,FandM,notinvasive,7772.468719,114477.6305,mainly animals (troph. 2.8 and up),selective plankton feeding,"Feeds on branchiopods, copepods and insects (Ref. 6258).",800
232,0.498310567,secCons,1.86332286,Salmoniformes,Palearctic,Unknown,FandM,notinvasive,8301.010649,156515.1525,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),,5452.5
233,0.511883361,secCons,1.698970004,Salmoniformes,Palearctic,Both,FandM,notinvasive,99.39363993,138949.8895,mainly animals (troph. 2.8 and up),selective plankton feeding,,2100
234,0.535294129,secCons,2,Salmoniformes,Nearctic,Both,FandM,notinvasive,4605.252989,59932.63574,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Primarily a lake dweller (Ref. 27547).  Also found in large rivers and enters brackish water (Ref. 5723).  Nerito-pelagic (Ref. 58426).  Appears to be rather sedentary, at least in the Great Lakes (Ref. 27547).  Movement in large lakes generally consists of 4 stages:  movement from deep to shallow water in the spring; movement back to deep water in the summer as the shoal water warms; migration to shallow-water spawning areas in the fall and early winter; and post-spawning movement back to deeper water (Ref. 27547).  Forms separate populations in large lakes (Ref. 27547).  Adults feed mainly on aquatic insect larvae, mollusks and amphipods (Ref. 1091, 3849), but also other fishes and fish eggs, including their own (Ref. 1998).",5525
235,0.525044807,secCons,1.755874856,Salmoniformes,Nearctic,Both,FandM,notinvasive,5690.695596,54302.55838,mainly animals (troph. 2.8 and up),selective plankton feeding,"Inhabits open waters of lakes and large rivers; also coastal waters of Hudson Bay (Ref. 9988).  Nerito-pelagic, feeds on plankton and large crustaceans (Ref. 58426).   Adult fish retain the ability to use either particulate or filter-feeding modes (Ref. 46977).",NA
236,0.575187845,secCons,2.176091259,Salmoniformes,Palearctic,Both,FandM,notinvasive,4488.18662,57684.20658,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Juveniles feed mainly on aquatic insects and crustaceans. At sea the Atlantic salmon is pelagic, usually found feeding near the surface (Ref. 59043) preying on fish and crustaceans (Ref. 35387). May make long distance feeding migrations while at sea (e.g. individuals from European rivers may migrate to rich feeding grounds around the Faeroes Islands and in western Greenland (Ref. 58137)). Adults do not feed in freshwater during the spawning and post-spawning migrations  (Refs. 30578, 51442, 59043). Preyed upon by American mergansers, kingfishers, harbor seals, grey seals, sharks, pollock and tuna.",30912.625
238,0.579783591,secCons,2.146128036,Salmoniformes,Palearctic,Both,FandM,Invasive,3520.812495,53126.74273,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Brown trout are territorial and begin establishing territories as juveniles (Ref. 26526).  Juvenile trout from lake populations move from their natal inlets to lakes during the first 2 years of life (Ref. 6390).  For sympatric populations of this species and <i>Gadopsis marmoratus</i>, coexistence was possible, although their diets were similar, because each species occupied different habitats (Ref. 26860).  Juveniles feed mainly on larvae of insects; adults feed on crustaceans and fish (Ref. 51442). Fingerling brown trout seems to act as an opportunistic predator, and the consumption of different preys seems to be influenced by their accessibility, predation risk, and their energetic value (Ref. 55756).  It is preyed upon by kingfishers and mergansers.",14147.35
239,0.547774705,secCons,2.086359831,Salmoniformes,Nearctic,Both,FandM,Invasive,2524.658052,65742.89484,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Anadromous (Ref. 5951).  Young rainbow trout feed predominantly on zooplankton (Ref. 26523).  Rainbow trout of all sizes fed mainly on midge (adults, larvae and pupae).  As the fish grew larger, terrestrial prey became the most important food item (Ref. 55755).  Possible cohabitation with <i>G. olidus</i> (Ref. 26860).  Rainbow trout also have sea dwelling populations known as 'steelhead' (Ref. 6390).",18772
240,0.530199698,secCons,1.880813592,Salmoniformes,Palearctic,Both,FandM,notinvasive,4013.54551,73132.59331,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Anadromous (Ref. 5951).  The young migrate seaward (Ref. 9043). Epipelagic (Ref. 58426).  Spends 18 months at sea after which spawning migration to the natal river or stream occurs; but because the species is less certain of its homing and there is a certain degree of wandering, streams as much as 640 km from natal streams may be used (Ref. 1998, 27547).  Upon emerging from the gravel, fry immediately move downstream and remain inshore for a few months before going out to sea (Ref. 27547).  Fry may feed on nymphal and larval insects while in fresh water, but may not feed at all.  In the sea, young feed on copepods and larvacean tunicates, its diet shifting to amphipods, euphausiids and fishes as the fish grows (Ref. 27547).  Other food include ostracods, decapod larvae, cirripeds, tunicates, dipterous insects and planktonic organisms (Ref. 1998, 13434, 27547).  Fry may be preyed upon by birds and mammals while adults by marine mammals and large fish (Ref. 1998).",6120
241,0.534026106,secCons,2,Salmoniformes,Palearctic,Sonly,FandM,notinvasive,2821.277537,53251.00988,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Juveniles are typically euryphagous. They feed on planktonic and benthic organisms. Food spectrum narrows during migration from the river to the sea. Diet composition is determined by river conditions and by the hydrological conditions of the coastal region of the sea, particularly the water level in the river and the tide cycle, as well as illumination at night (Ref. 9027).",12470
243,0.509202522,secCons,1.924279286,Salmoniformes,Nearctic,Both,FandM,notinvasive,3620.62048,64762.91824,mainly animals (troph. 2.8 and up),selective plankton feeding,"Epipelagic (Ref. 58426).  There are two forms, the anadromous form known as the sockeye and the landlocked form (with a much smaller maximum size) known as the kokanee (Ref. 27547).  Upon emergence from gravel, fry at first tends to avoid light, hiding during the day and emerging at night (Ref. 27547).  In some populations, sockeye fry go to the sea during their first summer but most spend one or two (rarely three or four) years in a lake before migrating (Ref. 30333).  In a few streams of the Copper River drainage in Alaska, young sockeye stay in the stream (Ref. 27547).  Once in the lake, the young spend a few weeks inshore, feeding largely on ostracods, cladocerans and insect larvae.  The fish then become pelagic and move offshore, where they feed on plankton in the upper 20 m or so (Ref. 27547).  Seaward migration follows with the young individuals first staying fairly close to shore, feeding mainly on zooplankton, but also on small fishes and insects (Ref. 30343, 30346).  With growth, they head out to sea and fish become important in the diet (Ref. 27547).  Kokanee are confined to lake-stream systems, and most of its life is spent in the lake (Ref. 27547).  They feed mainly on plankton, but also take insects and bottom organisms (Ref. 1998).  Kokanee, wherever they are native, have been derived from anadromous populations, and each kokanee population apparently has evolved independently from a particular sockeye run (Ref. 30338, 30339).  Offspring of kokanee occasionally become anadromous, and sockeye offspring occasionally remain in freshwater (Ref. 27547).  Lifespan of the kokanee varies from two to seven years in different stocks (Ref. 27547).",7260
244,0.583198774,secCons,2.176091259,Salmoniformes,Nearctic,Both,FandM,Invasive,3388.068434,59402.1698,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Adults return to natal streams from the sea  to spawn (Ref. 27547).  Fry may migrate to the sea after only 3 months in fresh water, some may stay for as long as 3 years, but generally most stay a year in the stream before migrating (Ref. 27547).  Some individuals remain close inshore throughout their lives, but some make extensive migrations (Ref. 27547, 44894).",30320
245,0.621176282,Toppred,2.033222647,Salmoniformes,Nearctic,Both,FandM,notinvasive,3195.332228,57585.9625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"The fish occur in the ocean or in lakes; adults return to the rivers where they were born (Ref. 27547).  The young fish emerge in springtime and they usually live in fresh water for 1-2 years (sometimes up to 4 years, Ref. 27547); later they migrate at night to freshwater lakes or to the sea (Ref. 1998).  Epipelagic (Ref. 58426).  The fish that stay more than two years in fresh water and become sexually ripe without ever going to sea, are called residuals; they never spawn (Ref. 27547). Young fish in lakes and rivers eat mainly insects; they stay almost entirely in deep parts of the river and soon become strongly territorial (Ref. 27547). Upon reaching the sea, the smolts remain close to the coast for a certain time, eating planktonic crustaceans (Ref. 27547). As they grow, they migrate farther out into the sea and hunt larger organisms (Ref. 27547) such as jellyfish, squids and fishes (Ref. 58426).  They are hunted by various fishes, birds (mergansers, loons and kingfishers), mammals and lampreys (Ref. 1998).",13420.5
246,0.572871602,secCons,1.934498451,Salmoniformes,Nearctic,Both,FandM,Invasive,1345.820178,34535.87482,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Inhabits cold, well-oxygenated waters of rivers, lakes and reservoirs (Ref. 30578).  Anadromous (Ref. 5951).  Feeding effort in juveniles is directed toward sub-surface, invertebrate drift (Ref. 28091).  It is preyed upon by eels, white perch, yellow perch, chain pickerel, eastern belted kingfisher and American merganser (Ref. 5951).",6590
248,0.57634135,secCons,2.176091259,Salmoniformes,Nearctic,Both,Fonly,notinvasive,6024.82754,56376.11994,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Found in shallow and deep waters of northern lakes and streams and is restricted to relatively deep lakes in the southern part of its range (Ref. 5723).  Rarely in brackish water (Ref. 11980).  A solitary wanderer, the extent of their movements apparently limited by the size of the lake and individual (Ref. 27547).  Although lake trout generally feed on a variety of organisms such as freshwater sponges, crustaceans, insects, fishes (with a preference for ciscoes), and small mammals, some populations feed on plankton throughout their lives (Ref. 27547).  Such plankton-feeding lake trout grow more slowly, mature earlier and at smaller size, die sooner and attain smaller maximum size than do their fish-eating counterparts (Ref. 30351). Juveniles feed on invertebrates (Ref. 1998).",39460
254,0.465382851,secCons,1.301029996,Osmeriformes,Palearctic,Both,FandM,notinvasive,2234.646084,15271.66383,mainly animals (troph. 2.8 and up),selective plankton feeding,"Found in middle and surface water of ponds, lakes and streams, over a variety of bottom types (Ref. 5723).  Enters brackish water (Ref. 5723).  The species is basically anadromous, ascending rivers to spawn in spring (Ref. 33312).  Within a specific lake or pond, adults are generally found in inshore spawning areas in spring and early summer, later moving offshore (Ref. 27547).  Feeds on zooplankton, insects and algae (Ref. 28680, 28681).  Also consumes large quantities of benthos. Smelt diet changes with the season and diet varies with respect to current velocity, depth, temperature, salinity, sediment load, etc. (Ref. 9010).",NA
256,0.511883361,secCons,1.531478917,Osmeriformes,Nearctic,Sonly,FandM,notinvasive,3374.325509,103006.6911,mainly animals (troph. 2.8 and up),filtering plankton,"Found near shore and in coastal inlets and rivers (Ref. 2850).  Possibly to 625 m depth (Ref. 6793).  Spends most of its life in the sea, returning to freshwater streams to spawn (Ref. 27547).  There is evidence of return to natal streams (Ref. 10276).  May migrate up to 160 km upstream.  Feeds on plankton and only while at sea (11699, 10276).  Ecotoxicology of this species has been studied by various authors indicating that it is a potential integrator of low-level contaminants (Ref. 7355 & 7469).",NA
258,0.643452686,Toppred,2.136720567,Esociformes,Palearctic,Both,FandM,Invasive,2677.560452,67308.73276,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Occurs in clear vegetated lakes, quiet pools and backwaters of creeks and small to large rivers (Ref. 5723, 10294).  Usually solitary and highly territorial.  Enters brackish water in the Baltic.  Adult feeds mainly on fishes, but at times feeds heavily on frogs and crayfish (Ref. 27547).  Cannibalistic as juveniles (Ref. 30578).  Eggs and young are preyed upon by fishes, aquatic insect larvae, birds, and aquatic mammals (Ref. 1998).  Does not generally undertake long migrations, but a few may move considerable distances (Ref. 27547).",18522
262,0.563481085,secCons,1.602059991,Perciformes,Australasia,Unknown,FandM,notinvasive,132.9280612,17883.26723,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Occurs inshore (Ref. 75154).  Inhabits lagoon and semi-protected seaward reefs (Ref. 9710).  Prefers sheltered areas with deep holes or  large boulders (Ref. 37816).  Juvenile sometimes found in shallow mangrove swamps and the lower parts of freshwater streams.  Occurs solitary or in small groups (Ref. 4887).  Feeds at night on fishes, shrimps, crabs, holothurians and cephalopods (Ref. 30573).",NA
263,0.38381538,Omni,2.033423755,Characiformes,Neotropic,Sonly,Fonly,notinvasive,34.76297779,1360174.852,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,"This species is usually solitary.  Adults stay in flooded forests during first 5 months of flooding and consume but fruits and grains.  Young and juveniles live in black waters of flood plains until their sexual maturity.  Feeds on fruits and nuts of palm and rubber trees. In low water season, feeds on feces, fish, algae, wood, leaves and detritus. Has strong teeth that can chew hard nuts that fall in the water during flowering season. Juveniles are omnivores (Ref. 51869).",33500
266,0.588831726,secCons,1.949390007,Perciformes,Neotropic,Unknown,FandM,notinvasive,336.1342882,9828.945678,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Inhabit coastal as well as offshore waters.  Found around coral reefs, rocky areas, estuaries,  mangrove areas, and sometimes in lower reaches of rivers (especially the young).  Found in freshwater in Florida (Ref. 26938).  Often forming large aggregations.  Feed mainly at night on small fishes, shrimps, crabs, gastropods, cephalopods and some planktonic items.  Carnivore (Ref. 42240, 57616).  Easily approached (Ref. 9710).",NA
268,0.498310567,secCons,1.913813852,Cypriniformes,Palearctic,Both,FandM,notinvasive,2965.790773,81590.71439,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Predominantly plantivorous. Small bream are generally particulate feeders whereas larger bream (>15 cm) are filter feeders. The size selection of the filter feeding bream depends primarily on the mesh size of the branchiospinal system of the fish, which increases with increasing fish size (Ref. 42777).",4112.166667
269,0.514547753,secCons,1.84509804,Cypriniformes,Palearctic,Both,FandM,notinvasive,1149.946114,58985.81005,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Inhabits warm lakes and pools with weed and mud bottom.  Tolerant of low oxygen saturations (Ref. 30578, 44894).  Occurs in still or slow-flowing waters, often among dense vegetation (Ref. 44894).  In winter, it stays in the mud without feeding itself (Ref. 30578).  Omnivorous.  Feeds on bottom invertebrates and aquatic insect larvae.  Young also feed on algae (Ref. 1998, 44894).  Breeds in shallow water among dense vegetation, laying numerous sticky green eggs.  After hatching the larvae remain attached to the plants for several days.  Used as a fodder fish for bass (Ref. 7248).",7130
270,0.492760389,secCons,1.806179974,Cypriniformes,Palearctic,Both,FandM,Invasive,5329.151015,169308.9065,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),Feeds on  insect larvae and plankton (Ref. 30578).,4474
271,0.456366033,secCons,1.681241237,Cypriniformes,Palearctic,Both,FandM,Invasive,1722.345028,30026.59084,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,"Inhabit rivers, lakes, ponds and ditches (Ref. 5258, 10294) with stagnant or slow-flowing water (Ref. 30578).  Benthopelagic (Ref. 58302).  They live better in cold water.  Maximum recorded salinity is 17 ppt (Ref. 39171), but unable to withstand prolonged exposure above 15 ppt (Ref. 39172, 39174).  Goldfish prefer warm waters in lakes and slow flowing rivers (Ref. 30486).  They usually live over soft, muddy river beds, in areas with soft submerged vegetation (Ref. 30486).  Feed on a wide range of food including plants, small crustaceans, insects, and detritus (Ref. 5258, 10294). 

Feed on plants, insects, and detritus (Ref. 5258, 10411).

Reported host of bodonid flagellate <i>Cryptobia<i> sp. (Ref. 26129).",3125
272,0.457881897,secCons,1.700703717,Cypriniformes,Palearctic,Both,FandM,Invasive,2042.752031,72741.6083,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),"Facultative schooling fish (Ref. 46093).  Large fish are solitary or congregate in small groups of up to 8 fish (Ref. 46637).  Specimens ranging from 1.1 - 3.59 cm start exogenous feeding on pollen grains and vegetal cells (Ref 4938).  Omnivore (Ref. 75154); feed on benthic organisms, plants and detritus (Ref. 26323).",2032.5
274,0.301029996,Herb_detrite,2.021189299,Cypriniformes,Palearctic,Both,FandM,Invasive,306.785079,138486.3016,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,,34500
275,0.451786436,secCons,2.164352856,Cypriniformes,Palearctic,Both,FandM,Invasive,328.8153211,170980.2997,plants/detritus+animals (troph. 2.2-2.79),variable,"Occurs in rivers (Ref. 6459, 10294) and lakes.  Feeds mainly on zooplankton (Ref. 6459); also on insect larvae and clumps of algae (Ref. 10294).  Bottom feeding fish (Ref. 6459). Reported host of the bodonid flagellate Cryptobia sp. (Ref. 26129).",38077.6
276,0.418301291,Omni,1.505149978,Cypriniformes,Nearctic,Both,FandM,notinvasive,904.0357738,24826.4838,plants/detritus+animals (troph. 2.2-2.79),variable,"Inhabits vegetated lakes, ponds, swamps, backwaters and pools of creeks and small to medium rivers (Ref. 3814).",680
277,0.450249098,secCons,1.505149978,Cypriniformes,IndoMalay,Both,Fonly,notinvasive,202.6306208,24584.08837,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),"Feeds on plants, zoobenthos, zooplankton and detritus (Ref. 13497).",NA
281,0.53275439,secCons,0.954242509,Cypriniformes,Afrotropic,Lonely,Fonly,notinvasive,13123.01314,19013.33338,mainly animals (troph. 2.8 and up),selective plankton feeding,,NA
282,0.301029996,Herb_detrite,1.740362689,Cypriniformes,Palearctic,Sonly,FandM,notinvasive,283.4903187,123593.5812,mainly plants/detritus (troph. 2-2.19),browsing on substrate,Feeds on higher aquatic plants.,NA
283,0.551449998,secCons,1.77815125,Cypriniformes,Palearctic,Sonly,FandM,notinvasive,3272.905334,84073.06883,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),Feeds on benthic and planktonic organisms (Ref. 9037).,1050
286,0.372911984,Omni,1.607455023,Cypriniformes,IndoMalay,Lonely,Fonly,notinvasive,215.8564809,13316.84175,plants/detritus+animals (troph. 2.2-2.79),grazing on aquatic plants,"Feeds on plants, insects and detritus (Ref. 13497).",7050
289,0.614897216,Toppred,2.698970004,Siluriformes,Palearctic,Both,FandM,Invasive,1573.709466,28186.18885,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),Found in deep waters of dams constructed in the lower reaches of rivers (Ref. 9696).,197625
290,0.531478929,secCons,2.120573931,Siluriformes,Nearctic,Both,Fonly,Invasive,993.6704587,23586.25763,mainly animals (troph. 2.8 and up),variable,,20750
291,0.542825427,secCons,1.819543936,Siluriformes,Nearctic,Both,Fonly,Invasive,1414.110693,43647.9197,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),,4050
292,0.536558443,secCons,2.477121255,Siluriformes,IndoMalay,Sonly,FandM,notinvasive,119.2266955,50434.13577,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Feeds on crustaceans, mollusks, insects, plant material, and worms (Ref. 8609).",NA
293,0.572871602,secCons,1.389166084,Siluriformes,IndoMalay,Both,Fonly,notinvasive,169.7951543,145054.2808,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Occurs in streams, ponds, ditches and reservoirs. Feeds at night on small fishes, crustaceans and insects.",21600
295,0.550228353,secCons,2.176091259,Anguilliformes,Palearctic,Sonly,FandM,notinvasive,1248.224307,14204.2403,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Feeds on crustaceans, insects and fish. Spawning occurs in the sea; small eels ascend the rivers in schools; develop and grow in freshwater. The species may crawl over land at night from one place to another.",1324.5
296,0.558708571,secCons,2.181843588,Anguilliformes,Nearctic,Both,FandM,notinvasive,821.6255348,19142.46798,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Observed transient in the intertidal zone (Ref.49162).  Occur usually in permanent streams with continuous flow.  Hide during the day in undercut banks and in deep pools near logs and boulders.  Feed on larvae of Ephemeroptera, Odonata, Plecoptera, Coleoptera, Trichoptera, and Lepidoptera, as well as gastropods, oligochaetes, amphipods, isopods, mysids, and fish from the families Percidae, Cyprinidae, Ictaluridae, Catostomidae and Anguillidae (Ref. 9593).  Migrate in autumn to the Sargasso Sea to spawn (Ref. 3242).  Adults are caught with eel pots and trot lines.  Elvers and glass eels are caught with fine mesh fyke nets and dipnets.  Catadromous species.  (Ref. 26938).  Maximum depth reported taken from Ref. 57178.  Feeding ceases with the onset of the reproductive migration.  Parasites of the species in fresh water include 1 protozoan, 3 myxosporidians, 11 trematodes, 5 cestodes, 4 nematodes, 2 acanthocephalans and 3 copepods; in brackish water, protozoan <i>Myxidium zealandicum</i> (found on gills and kidney) (Ref. 5951).",6060
298,0.641474111,Toppred,2.342422681,Anguilliformes,Australasia,Unknown,FandM,notinvasive,171.2596323,69307.31051,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),Found in sandy or muddy places (Ref. 9137); also inhabits coral reefs (Ref. 58534).  A carnivore that feeds on fish and crabs (Ref. 9137).,NA
305,0.531478917,secCons,1.602059991,Beloniformes,Palearctic,Unknown,FandM,notinvasive,773.1282431,20739.8025,mainly animals (troph. 2.8 and up),selective plankton feeding,Common in inshore waters. Occurs in the lower part of the Yangtze River in China. Forms small schools and feeds mainly on zooplankton. Also in Ref. 9137.,NA
310,0.607455023,Toppred,2.181843588,Gadiformes,Palearctic,Both,FandM,notinvasive,4462.468578,89831.53168,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"The only member of the family which lives in freshwater.  Crepuscular and nocturnal (Ref. 11941).  Inhabits deep lakes and large rivers (Ref. 5723) with slow-moving current.  Seeks shelter under rocks, in crevices on the river banks, among roots of trees and dense vegetation (Ref. 30578).  Those in rivers tend to congregate in deep holes throughout the year, except at spawning (Ref. 27547).  Movements into shallower water during summer nights are related to feeding (Ref. 1998).  Smaller individuals feed on insect larvae, crayfish, mollusks and other invertebrates with a changing preference for fishes in larger individuals (Ref. 1998).  Feeds mainly on fish (Ref. 13439).",14407.5
